Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity corrected 12	Reporter intensity corrected 13	Reporter intensity corrected 14	Reporter intensity corrected 15	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity 12	Reporter intensity 13	Reporter intensity 14	Reporter intensity 15	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Reporter intensity count 12	Reporter intensity count 13	Reporter intensity count 14	Reporter intensity count 15	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P49915|GUAA_HUMAN	sp|P49915|GUAA_HUMAN	1	1	1	sp|P49915|GUAA_HUMAN GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1	1	1	1	1	2.7	2.7	2.7	76.715	693	693	0.00096432	7.4285	3277.7	3956.2	2567.2	2700.1	2777.9	290.05	25.848	3874.1	2001.8	3026.2	3060.3	1976.2	1838.4	2431.7	477.29	3016.8	3665	2656.5	2801.2	2794	536.18	230.32	3739.4	1968	3079.1	3026.6	2066.6	1849.3	2315.8	480.35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3084900	1				547	1881	True	1947	3162	4151	4151		
sp|P49959|MRE11_HUMAN	sp|P49959|MRE11_HUMAN	1	1	1	sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3	1	1	1	1	1.8	1.8	1.8	80.592	708	708	0.0010537	9.4566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				548	7322	True	7621	12000	15820	15820		
sp|P50213|IDH3A_HUMAN	sp|P50213|IDH3A_HUMAN	1	1	1	sp|P50213|IDH3A_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1	1	1	1	1	3	3	3	39.591	366	366	0.0095314	5.8769	24721	15848	17366	19266	10807	4683.1	4112.6	18946	11032	17203	18556	8809	11892	10302	6137.5	22738	14808	18094	19133	11538	5970.8	4695.7	18552	11116	17256	18344	9303.5	12063	9819.4	5974.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11321000	1				549	5923	True	6171	9773	12982	12982		
sp|P50238|CRIP1_HUMAN	sp|P50238|CRIP1_HUMAN	1	1	1	sp|P50238|CRIP1_HUMAN Cysteine-rich protein 1 OS=Homo sapiens OX=9606 GN=CRIP1 PE=1 SV=3	1	1	1	1	11.7	11.7	11.7	8.5328	77	77	0.0080906	5.9692	21381	15737	14885	22950	15877	3389.6	3737.8	33772	9072.7	14806	23901	14591	15679	16671	5420.8	19665	14742	15604	22521	16072	5377.3	4567	32228	9451.7	15906	23415	14975	15760	15892	5365.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	435270000	1				550	2714	True	2809	4476	5791	5791		
sp|P50402|EMD_HUMAN	sp|P50402|EMD_HUMAN	8	8	8	sp|P50402|EMD_HUMAN Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1	1	8	8	8	41.3	41.3	41.3	28.994	254	254	0	98.993	219850	181990	202590	217150	161620	44632	31729	272520	158310	176580	240840	151170	186690	135880	52926	202550	169930	205830	215760	167250	61310	42466	263070	157690	182950	239540	154170	185760	130100	52949	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	530630000	14				551	403;2613;3134;3943;5134;5354;8090;9055	True;True;True;True;True;True;True;True	413;2705;2706;3237;4074;5309;5536;8416;9416	610;4334;4335;5118;5119;6486;6487;8366;8720;13263;14799	755;5623;5624;6566;6567;8581;8582;8583;8584;8585;11148;11601;17365;19423	755;5623;6566;8582;11148;11601;17365;19423	230	73
sp|P50416|CPT1A_HUMAN	sp|P50416|CPT1A_HUMAN	1	1	1	sp|P50416|CPT1A_HUMAN Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	88.367	773	773	0.0017498	6.5403	4264.3	5836.2	5124.3	4471.6	4990.4	753.78	831.75	5546.6	2794.6	4785.2	5423.2	3999.1	3936.2	3854.1	1344.5	3937.1	5414.7	5110.6	4592.2	5069.5	1114.9	1118	5389.6	2836.6	4879.6	5355	4092.3	3937.7	3685	1331.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3687700	1				552	9002	True	9359	14709	19313	19313		
sp|P50454|SERPH_HUMAN	sp|P50454|SERPH_HUMAN	12	12	12	sp|P50454|SERPH_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2	1	12	12	12	40.9	40.9	40.9	46.44	418	418	0	170.44	456840	284320	417530	344920	269100	47716	43258	437340	310500	317710	433190	233000	303600	259780	58906	420860	265400	423700	341850	284450	75323	63301	422140	306450	325570	430820	241260	302170	247770	60583	14	14	14	14	14	13	14	14	14	14	14	14	14	14	14	950780000	14				553	852;896;1280;1371;3100;3215;4154;5014;5150;5307;6702;6703	True;True;True;True;True;True;True;True;True;True;True;True	876;923;1318;1412;3202;3323;4296;5186;5326;5488;6973;6974	1365;1443;1444;2130;2272;5068;5272;6833;8164;8389;8663;11003;11004	1804;1905;1906;1907;2796;2980;6512;6817;9116;10864;11175;11531;14576;14577	1804;1907;2796;2980;6512;6817;9116;10864;11175;11531;14576;14577		
sp|P50914|RL14_HUMAN	sp|P50914|RL14_HUMAN	6	6	6	sp|P50914|RL14_HUMAN 60S ribosomal protein L14 OS=Homo sapiens OX=9606 GN=RPL14 PE=1 SV=4	1	6	6	6	26.5	26.5	26.5	23.432	215	215	0	47.808	141080	281760	114040	141320	316270	26208	19655	167270	65627	163290	159280	113950	107450	278420	35593	129890	260440	119980	152300	304600	35937	36948	163390	67781	165940	156340	124870	107790	263180	35305	8	8	8	8	8	7	8	8	8	8	8	8	8	8	8	441220000	9				554	2437;3508;3889;5226;6607;8168	True;True;True;True;True;True	2523;3623;4016;5404;6878;8494	4056;5783;6389;8546;8547;10873;13392;13393	5256;7612;8428;11388;11389;11390;14410;17573;17574	5256;7612;8428;11389;14410;17573		
sp|P50990|TCPQ_HUMAN	sp|P50990|TCPQ_HUMAN	3	3	3	sp|P50990|TCPQ_HUMAN T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	1	3	3	3	5.8	5.8	5.8	59.62	548	548	0	21.17	81747	58350	82005	77762	43613	16832	9967.4	100390	62809	73259	93639	52208	57277	46920	18743	75359	54601	82454	76789	47250	22797	13348	97211	62129	74892	92728	53626	57742	44926	18606	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	80274000	4				555	1103;2137;3022	True;True;True	1136;2216;3124	1815;3599;3600;4954	2388;4702;4703;6380	2388;4702;6380		
sp|P50991|TCPD_HUMAN	sp|P50991|TCPD_HUMAN	6	6	6	sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4	1	6	6	6	18	18	18	57.924	539	539	0	53.85	119260	102160	94300	112350	89196	23197	18085	142140	70446	94285	149120	69595	85506	105580	29675	109770	95265	97374	112220	91014	31664	23502	137280	71421	97386	146280	73286	86563	100260	29371	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	142020000	6				556	252;496;2641;7553;8330;8646	True;True;True;True;True;True	255;512;2734;7855;8662;8996	391;809;4370;12355;13633;14186	480;1057;5672;16247;17899;18679	480;1057;5672;16247;17899;18679		
sp|P51114|FXR1_HUMAN	sp|P51114|FXR1_HUMAN	15	15	13	sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3	1	15	15	13	23.8	23.8	21.3	69.72	621	621	0	144.21	543120	462900	304220	519580	407360	169870	130650	717660	217370	311550	495800	259530	422820	355460	149940	499030	432230	328750	519760	407390	206190	148520	689850	227490	333270	490000	270520	420430	337980	148180	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	912150000	18				557	396;1784;2697;3405;3406;3848;3849;3959;4277;4951;5012;5080;6404;6499;8350	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	406;1844;2792;3519;3520;3975;3976;4091;4421;5119;5184;5255;6669;6768;8683	601;2968;2969;4453;5609;5610;6311;6312;6511;7009;8040;8162;8297;10594;10735;10736;13657;13658	746;3851;3852;5765;7367;7368;8319;8320;8620;9366;10698;10862;11062;14062;14238;14239;17927;17928	746;3852;5765;7367;7368;8319;8320;8620;9366;10698;10862;11062;14062;14238;17928		
sp|P51116|FXR2_HUMAN	sp|P51116|FXR2_HUMAN	4	2	2	sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2	1	4	2	2	7.7	5.3	5.3	74.222	673	673	0	24.691	13558	11231	8081.7	11753	12072	2304.2	986.25	17380	5410.5	5374.5	9725.1	7292.9	10917	10287	2263.2	12461	10464	8670.9	11779	11932	3282.9	1712.7	16535	5487.4	6097.8	9731.4	7508.9	10683	9776.3	2313.1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	39612000	3				558	5012;7456;7651;8350	False;True;True;False	5184;7756;7957;8683	8162;12211;12212;12542;13657;13658	10862;16072;16073;16476;17927;17928	10862;16073;16476;17928		
sp|P51149|RAB7A_HUMAN	sp|P51149|RAB7A_HUMAN	1	1	1	sp|P51149|RAB7A_HUMAN Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1	1	1	1	1	6.3	6.3	6.3	23.489	207	207	0.0034159	6.2559	10375	12558	10037	12771	11243	3962	2254.6	14382	8639.8	10585	13213	7325.4	8161.3	11013	6188.2	9562.5	11706	10196	12854	11322	4794.8	2925.4	14013	8610.4	10844	13092	7729.2	8386.1	10459	5958	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13052000	1				559	1266	True	1304	2114	2779	2779		
sp|P51153|RAB13_HUMAN	sp|P51153|RAB13_HUMAN	3	2	2	sp|P51153|RAB13_HUMAN Ras-related protein Rab-13 OS=Homo sapiens OX=9606 GN=RAB13 PE=1 SV=1	1	3	2	2	13.3	7.9	7.9	22.774	203	203	0	11.301	57002	26766	49511	49379	19100	6378.1	6665	81724	46739	34394	70009	29590	40470	16423	10098	52495	25203	50326	47925	21814	10946	8501	77827	46158	36730	69234	29745	40777	15919	10190	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	60905000	2				560	1988;4829;8030	True;False;True	2064;4994;8355	3369;7864;7865;13172	4411;10486;10487;17241	4411;10487;17241		
sp|P51570|GALK1_HUMAN	sp|P51570|GALK1_HUMAN	1	1	1	sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1	1	1	1	1	4.8	4.8	4.8	42.272	392	392	0.0017437	6.4955	13375	14753	12760	13166	10605	3485.6	2702.3	18248	9613.8	13739	14999	10271	11326	9771.8	4641.7	12326	13721	12932	13373	10946	4486.8	3336.4	17707	9626.8	14049	14905	10552	11348	9345.8	4557.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8958400	1				561	272	True	276	421	511	511		
sp|P51571|SSRD_HUMAN	sp|P51571|SSRD_HUMAN	1	1	1	sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1	1	1	1	1	6.4	6.4	6.4	18.998	173	173	0.00089127	6.7103	19118	17374	13899	22217	15992	3294.6	2583.2	25772	13418	15029	19595	15802	15944	13051	6022	17588	16235	14513	21954	16075	5047.7	3614.6	24774	13344	15803	19540	15958	15903	12517	5933.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25821000	1				562	2322	True	2404	3876	5021	5021		
sp|P51572|BAP31_HUMAN	sp|P51572|BAP31_HUMAN	25	25	25	sp|P51572|BAP31_HUMAN B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3	1	25	25	25	52	52	52	27.991	246	246	0	199.63	6942100	2791900	2423200	2781400	2479800	173700	141470	4250500	1674200	1221700	3976500	1209200	4205700	4420700	234640	6368300	2595600	2822200	2788700	2518000	392110	307480	4018700	1721700	1397700	3946400	1375900	4093100	4168300	289400	107	105	107	107	107	82	92	107	107	107	107	107	107	107	101	23620000000	119				563	221;2245;2550;2551;2552;3984;4176;4210;4298;4308;4309;4461;4462;4716;4785;4964;4965;4966;5988;5989;6333;7017;8533;9044;9045	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	225;226;2326;2641;2642;2643;4116;4318;4353;4442;4452;4453;4454;4613;4614;4876;4950;5132;5133;5134;5135;5136;6236;6237;6596;7300;8879;8880;8881;9404;9405;9406	348;349;350;3760;4236;4237;4238;4239;4240;4241;4242;6548;6869;6916;6917;6918;6919;7036;7047;7048;7049;7050;7051;7052;7053;7293;7294;7295;7296;7683;7684;7685;7686;7687;7688;7689;7810;7811;7812;7813;8057;8058;8059;8060;8061;8062;8063;8064;8065;8066;8067;8068;8069;8070;8071;8072;8073;8074;8075;8076;9867;9868;9869;9870;9871;10482;11523;11524;14009;14010;14011;14012;14013;14014;14015;14016;14017;14018;14779;14780;14781;14782;14783;14784;14785;14786;14787	426;427;428;4875;5492;5493;5494;5495;5496;5497;5498;8692;9169;9231;9232;9233;9234;9235;9236;9396;9397;9410;9411;9412;9413;9414;9415;9416;9417;9418;9419;9722;9723;9724;9725;9726;9727;10252;10253;10254;10255;10256;10257;10258;10425;10426;10427;10428;10429;10717;10718;10719;10720;10721;10722;10723;10724;10725;10726;10727;10728;10729;10730;10731;10732;10733;10734;10735;10736;10737;10738;10739;10740;10741;10742;13099;13100;13101;13102;13103;13104;13105;13106;13107;13108;13109;13110;13111;13112;13113;13921;15212;15213;18455;18456;18457;18458;18459;18460;18461;18462;18463;18464;18465;18466;18467;18468;18469;19400;19401;19402;19403;19404;19405;19406;19407;19408;19409;19410	427;4875;5494;5495;5498;8692;9169;9231;9397;9411;9417;9724;9725;10255;10426;10725;10729;10736;13101;13112;13921;15213;18465;19400;19405	231;232;233;234;235	89;94;151;212;241
sp|P51648|AL3A2_HUMAN	sp|P51648|AL3A2_HUMAN	8	8	8	sp|P51648|AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2 OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1	1	8	8	8	17.9	17.9	17.9	54.847	485	485	0	70.675	283570	234990	278880	292870	204270	27807	23473	323390	253220	246270	345940	229810	237560	189000	43056	261380	219380	281510	289460	212730	47104	39721	312270	248960	253530	344100	232850	236530	181290	44552	15	15	15	15	15	14	14	15	15	15	15	15	15	15	15	730010000	15				564	1665;1814;2113;3326;3611;3821;5894;8519	True;True;True;True;True;True;True;True	1721;1877;2192;3439;3728;3948;6139;8863;8864	2817;3032;3568;5472;5938;5939;6274;6275;9714;9715;13959;13960	3662;3969;4669;7159;7819;7820;7821;7822;8274;8275;12899;12900;18368;18369;18370	3662;3969;4669;7159;7822;8275;12899;18370	236	328
sp|P51801|CLCKB_HUMAN	sp|P51801|CLCKB_HUMAN	1	1	1	sp|P51801|CLCKB_HUMAN Chloride channel protein ClC-Kb OS=Homo sapiens OX=9606 GN=CLCNKB PE=1 SV=3	1	1	1	1	1	1	1	75.445	687	687	0.0081235	5.9833	233170	122690	155530	133070	109390	11925	6615	162410	123940	108690	221330	78313	129970	175030	14780	214410	114270	163090	132680	114470	23333	15561	156130	123020	112560	217880	85027	130010	165560	16133	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	320180000	3				565	2738	True	2834	4539;4540;4541	5864;5865;5866	5866		
sp|P51991|ROA3_HUMAN	sp|P51991|ROA3_HUMAN	4	4	3	sp|P51991|ROA3_HUMAN Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2	1	4	4	3	16.9	16.9	12.7	39.594	378	378	0	36.671	89609	58211	53549	79974	53854	17838	12359	108980	38693	46769	67568	45092	63013	46185	21910	82358	54507	57136	78857	54785	24049	15398	104330	39241	50253	67309	46076	62440	44108	21672	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	165750000	4				566	3424;4565;5383;7264	True;True;True;True	3538;4722;7563	5635;7457;11920;11921	7398;9959;15728;15729	7398;9959;15728		
sp|P52209|6PGD_HUMAN	sp|P52209|6PGD_HUMAN	1	1	1	sp|P52209|6PGD_HUMAN 6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3	1	1	1	1	3.5	3.5	3.5	53.139	483	483	0.00091324	6.981	6504.2	7721.2	7545.3	9889.7	5225.8	1691.3	662.69	9148.9	7021.7	5992.7	6792.1	4631.2	6216	4892.1	1686	6003.2	7216.6	7516.9	9774.6	5471.9	2393.7	1088.6	8847.6	6832.8	6187.8	6889.5	4773.9	6143.3	4669.9	1691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7892100	1				567	2788	True	2885	4624	5974	5974		
sp|P52272|HNRPM_HUMAN	sp|P52272|HNRPM_HUMAN	25	25	25	sp|P52272|HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	1	25	25	25	41	41	41	77.515	730	730	0	233.96	1115500	939810	680710	1039200	898710	194600	145270	1482400	515350	684750	1012100	603800	883280	769620	269200	1025400	876320	726900	1037300	896040	277770	196890	1418300	525050	729620	1003500	625460	875540	732480	268150	35	35	35	35	35	34	35	35	35	35	35	35	35	35	35	2375000000	36				568	27;42;136;260;2318;2320;2622;2657;2743;2781;3641;4599;4631;5343;5391;5392;5400;5516;5710;6077;6493;8273;8303;8307;8833	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	28;43;137;263;2400;2402;2715;2750;2839;2878;3764;4756;4788;5526;5579;5580;5589;5734;5939;6331;6762;8605;8635;8639;9188	43;60;203;400;401;3867;3868;3870;4346;4395;4547;4615;4616;6012;6013;7508;7560;8709;8792;8793;8805;8806;9029;9377;9378;10056;10057;10728;13554;13598;13603;14460	48;66;255;489;490;5009;5010;5012;5013;5638;5701;5872;5965;5966;7940;7941;10038;10103;11588;11687;11688;11702;11703;11985;12465;12466;12467;13357;13358;14231;17801;17802;17803;17858;17864;19022	48;66;255;489;5009;5012;5638;5701;5872;5965;7941;10038;10103;11588;11687;11688;11703;11985;12467;13357;14231;17803;17858;17864;19022	237	537
sp|P52292|IMA1_HUMAN	sp|P52292|IMA1_HUMAN	6	6	6	sp|P52292|IMA1_HUMAN Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1	1	6	6	6	13.2	13.2	13.2	57.861	529	529	0	43.264	135890	154060	95716	177940	144040	16942	12239	203930	76148	99956	147360	104670	139670	116800	23183	125000	143650	100680	176710	142250	31722	21178	194870	77174	106660	146410	107070	137140	111380	24174	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	202980000	8				569	776;1821;4806;5759;7361;7677	True;True;True;True;True;True	797;1884;4971;5996;7661;7983	1236;3040;7835;7836;9479;12062;12572;12573	1616;3978;10452;10453;12599;15889;16510;16511	1616;3978;10453;12599;15889;16511		
sp|P52294|IMA5_HUMAN	sp|P52294|IMA5_HUMAN	23	23	16	sp|P52294|IMA5_HUMAN Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3	1	23	23	16	34.8	34.8	23.2	60.221	538	538	0	238.23	1322800	1601100	1076400	1666500	1457900	154630	123570	1918800	793690	853330	923450	1086400	1498800	1270600	207320	1217800	1490400	1113400	1666300	1447600	265350	210970	1830000	790180	927690	949170	1108100	1448900	1210700	219030	53	53	53	53	53	37	45	53	53	53	53	53	53	53	47	6179500000	53				570	668;1468;1600;2016;2513;2818;3404;3828;3938;4098;4594;4595;4863;5241;6468;6473;6570;6633;7036;7037;7152;8001;8765	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	687;1515;1655;2093;2604;2915;3518;3955;4069;4234;4751;4752;5029;5420;5421;6737;6742;6840;6905;7322;7323;7448;8326;9117	1069;1070;2435;2436;2734;3407;3408;3409;3410;4183;4660;5607;5608;6284;6477;6714;7501;7502;7503;7915;7916;8569;8570;10690;10696;10826;10914;10915;11568;11569;11779;11780;13135;14355;14356	1397;1398;3174;3175;3566;4454;4455;4456;4457;4458;4459;4460;4461;4462;5407;6015;6016;6017;6018;7363;7364;7365;7366;8284;8572;8949;8950;10030;10031;10032;10033;10548;10549;10550;10551;10552;11415;11416;14165;14172;14173;14352;14466;14467;15275;15276;15277;15558;15559;15560;17196;18885;18886	1397;3175;3566;4457;5407;6016;7363;8284;8572;8949;10031;10033;10550;11415;14165;14173;14352;14466;15276;15277;15558;17196;18886	62	306
sp|P52298|NCBP2_HUMAN	sp|P52298|NCBP2_HUMAN	2	2	2	sp|P52298|NCBP2_HUMAN Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1	1	2	2	2	12.2	12.2	12.2	18.001	156	156	0	13.488	17480	10874	11534	14205	9725.1	4235.9	2605.4	17847	9041.2	9842.7	15480	6866.3	13055	8295.2	2762.3	16073	10180	12134	14069	10043	5214.8	3183.1	17232	9121.5	10253	15379	7156.4	12902	7901.7	2819.8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14892000	2				571	6770;7562	True;True	7044;7864	11117;12368	14716;16261	14716;16261		
sp|P52597|HNRPF_HUMAN	sp|P52597|HNRPF_HUMAN	9	7	7	sp|P52597|HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3	1	9	7	7	29.4	22.9	22.9	45.671	415	415	0	75.483	338100	338950	245660	343860	347050	73711	50880	463850	172490	263390	334750	202400	260190	267150	81219	311050	315700	257300	345490	344350	100790	70478	446240	175340	274880	331040	211080	259180	254140	80805	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	596130000	14				572	821;2413;3270;3777;5435;6336;7460;7588;8319	False;True;True;True;True;True;True;True;False	844;2498;3382;3900;5631;5632;6599;7760;7890;8651	1310;1311;4023;5372;6198;6199;8862;8863;8864;10487;12217;12218;12408;13620;13621	1718;1719;5221;6956;8181;8182;8183;11772;11773;11774;13926;13927;13928;16078;16079;16305;17886;17887	1719;5221;6956;8182;11774;13927;16079;16305;17886	238	2
sp|P52701|MSH6_HUMAN	sp|P52701|MSH6_HUMAN	1	1	1	sp|P52701|MSH6_HUMAN DNA mismatch repair protein Msh6 OS=Homo sapiens OX=9606 GN=MSH6 PE=1 SV=2	1	1	1	1	1.3	1.3	1.3	152.78	1360	1360	0.0010417	8.8301	2937.5	3641.6	3087.1	3829.3	3948.2	2479.5	679.9	5121.9	2558.5	2895.5	4027.3	3359.3	3117.8	2907.9	580.45	2709.1	3405.1	3120.8	3875.3	3938.9	2642.3	910.82	5015.1	2563.2	3068.5	4000.8	3388.8	3088.3	2785.9	599.01	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12763000	1				573	3053	True	3156	5000	6437	6437		
sp|P52732|KIF11_HUMAN	sp|P52732|KIF11_HUMAN	2	2	2	sp|P52732|KIF11_HUMAN Kinesin-like protein KIF11 OS=Homo sapiens OX=9606 GN=KIF11 PE=1 SV=2	1	2	2	2	2.3	2.3	2.3	119.16	1056	1056	0	14.035	12211	13714	11538	12668	11810	10298	9014.2	13545	9697.5	13591	12468	10654	11202	14072	12916	11252	12809	11745	12987	12119	10584	9211.2	13674	9980.6	13775	12554	11095	11533	13386	12334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13230000	2				574	7979;8056	True;True	8300;8381	13075;13215	17114;17311	17114;17311		
sp|P52907|CAZA1_HUMAN	sp|P52907|CAZA1_HUMAN	12	12	10	sp|P52907|CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3	1	12	12	10	59.8	59.8	50.3	32.922	286	286	0	188.35	594500	578460	476610	662900	709600	192870	137270	1091400	295440	546090	776790	342060	415100	353660	246200	547260	540170	494670	661850	702640	244380	173260	1048000	307480	570590	758540	355740	426610	337760	238620	40	40	40	40	40	39	40	40	40	40	40	40	40	40	40	3239500000	42				575	122;123;1416;1543;1667;2366;2503;3409;3499;3711;3942;4831	True;True;True;True;True;True;True;True;True;True;True;True	124;125;1461;1596;1723;1724;2450;2593;3523;3613;3834;4073;4996	185;186;2350;2351;2352;2353;2645;2646;2647;2648;2820;2821;2822;3954;3955;4166;4167;4168;5613;5742;5743;5744;5745;6110;6483;6484;6485;7867;7868	236;237;3071;3072;3073;3074;3075;3076;3077;3468;3469;3470;3471;3472;3473;3474;3665;3666;3667;5118;5119;5120;5121;5122;5388;5389;5390;7371;7372;7534;7535;7536;7537;7538;7539;8072;8578;8579;8580;10489;10490;10491	236;237;3073;3473;3667;5120;5389;7371;7539;8072;8578;10491	239	59
sp|P52943|CRIP2_HUMAN	sp|P52943|CRIP2_HUMAN	1	1	1	sp|P52943|CRIP2_HUMAN Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1	1	1	1	1	9.1	9.1	9.1	22.492	208	208	0.00096618	7.4428	18618	17816	21171	23467	21343	8824.2	5884	31639	12537	22598	26790	15178	17905	13673	8912.5	17182	16694	21211	23275	21680	10349	6939.4	30802	12900	23090	26366	15633	18109	13092	8686.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18456000	1				576	3086	True	3188	5049	6492	6492		
